Company,Company Score,Job Title,Location,Date,Salary,job family,seniority,specialization,city,state,is_remote,data_not_available,country,date_since_posted,salary_min,salary_max
two six technologies,4.5,software engineer,"Herndon, VA",30d+,61K - 147K,software engineer,not specified,,Herndon,VA,False,False,United States,30,61000.0,147000.0
decision six,3.6,software engineer,United States,5d,124K - 211K,software engineer,not specified,,United States,,False,False,United States,5,124000.0,211000.0
microsoft,4.4,software engineer,"Redmond, WA",4d,90K - 117K,software engineer,not specified,,Redmond,WA,False,False,United States,4,90000.0,117000.0
ateliere creative technologies,4.1,senior devops engineer - los angeles,"Los Angeles, CA",2d,98K - 209K,devops engineer,senior,devops,Los Angeles,CA,False,False,United States,2,98000.0,209000.0
openai,3.1,"software engineer, hardware health","San Francisco, CA",5d,78K - 121K,software engineer,not specified,,San Francisco,CA,False,False,United States,5,78000.0,121000.0
two six technologies,2.7,software engineer,"Tysons Corner, VA",17d,100K - 165K,software engineer,not specified,,Tysons Corner,VA,False,False,United States,17,100000.0,165000.0
splunk,3.5,software engineer (us remote available),Remote,3d,125K,software engineer,not specified,,,,True,False,United States,3,,
sasken,4.1,software engineer,United States,6d,71K - 112K,software engineer,not specified,,United States,,False,False,United States,6,71000.0,112000.0
realmone,3.8,software engineer,United States,5d,95K - 152K,software engineer,not specified,,United States,,False,False,United States,5,95000.0,152000.0
the wolf works llc,4.4,node js,"Austin, TX",2d,86K - 105K,other,not specified,,Austin,TX,False,False,United States,2,86000.0,105000.0
millennium management,3.8,software engineer - c#,"New York, NY",30d+,135K - 216K,software engineer,not specified,c#,New York,NY,False,False,United States,30,135000.0,216000.0
"aflac, incorporated",4.0,software engineer iii,Remote,1d,93K - 112K,software engineer,senior,,,,True,False,United States,1,93000.0,112000.0
ringcentral,3.9,software engineer,"Belmont, CA",24d,104K - 161K,software engineer,not specified,,Belmont,CA,False,False,United States,24,104000.0,161000.0
dallas area rapid transit,3.7,software engineer-bi,"Dallas, TX",30d+,77K - 121K,software engineer,not specified,,Dallas,TX,False,False,United States,30,77000.0,121000.0
w r systems,3.5,software engineer,"Dahlgren, VA",4d,95K - 134K,software engineer,not specified,,Dahlgren,VA,False,False,United States,4,95000.0,134000.0
"carecraft, inc",3.7,software engineer,"Carlsbad, CA",10d,125K - 178K,software engineer,not specified,,Carlsbad,CA,False,False,United States,10,125000.0,178000.0
specialt tech,3.1,cloud engineer manager,Remote,25d,76K - 108K,cloud engineer,leadership,cloud,,,True,False,United States,25,76000.0,108000.0
"hottinger, bruel & kjaer",4.5,software engineer,"Pompano Beach, FL",30d+,77K - 116K,software engineer,not specified,,Pompano Beach,FL,False,False,United States,30,77000.0,116000.0
"cps solutions, llc",4.1,devops engineer,United States,3d,82K - 106K,devops engineer,not specified,devops,United States,,False,False,United States,3,82000.0,106000.0
northwestern memorial healthcare,4.2,software developers,"Chicago, IL",10d,86K - 120K,software engineer,not specified,,Chicago,IL,False,False,United States,10,86000.0,120000.0
the swift group,4.1,software engineer,"Columbia, MD",30d+,96K - 146K,software engineer,not specified,,Columbia,MD,False,False,United States,30,96000.0,146000.0
asus computer international,4.9,software engineer - ai,"Hillsboro, OR",30d+,96K - 137K,software engineer,not specified,,Hillsboro,OR,False,False,United States,30,96000.0,137000.0
persistent systems,4.6,workday software engineer,United States,9d,141K - 239K,software engineer,not specified,,United States,,False,False,United States,9,141000.0,239000.0
cedar inc,3.3,software engineer ii (communications platform),"New York, NY",20d,108K - 140K,software engineer,junior,,New York,NY,False,False,United States,20,108000.0,140000.0
salesforce,3.1,software engineering mts,"San Francisco, CA",3d,40.00 - 55.00 Per Hour,software engineer,not specified,,San Francisco,CA,False,False,United States,3,,
cvs health,2.4,"software developer - c#, .net","Scottsdale, AZ",3d,108K - 195K,software engineer,not specified,c#,Scottsdale,AZ,False,False,United States,3,108000.0,195000.0
nautilus hyosung america inc,3.1,software engineer,"Irving, TX",3d,111K - 184K,software engineer,not specified,,Irving,TX,False,False,United States,3,111000.0,184000.0
blue origin,4.4,embedded flight software engineer – new glenn,"Seattle, WA",2d,189K - 284K,software engineer,not specified,,Seattle,WA,False,False,United States,2,189000.0,284000.0
west bend insurance company,4.9,software engineer,"West Bend, WI",1d,79K - 109K,software engineer,not specified,,West Bend,WI,False,False,United States,1,79000.0,109000.0
jbt corporation,4.1,software engineer c#,"Chalfont, PA",15d,94K - 129K,software engineer,not specified,c#,Chalfont,PA,False,False,United States,15,94000.0,129000.0
cedar inc,3.1,software engineer iii (payment workflows),"New York, NY",19d,56K - 83K,software engineer,senior,,New York,NY,False,False,United States,19,56000.0,83000.0
allied business consulting,3.8,software developers,"Somerset, NJ",13d,202K - 290K,software engineer,not specified,,Somerset,NJ,False,False,United States,13,202000.0,290000.0
"chick-fil-a, inc.",2.3,senior software engineer - backend development,"Atlanta, GA",11d,70K - 103K,software engineer,senior,backend,Atlanta,GA,False,False,United States,11,70000.0,103000.0
"us amr-jones lang lasalle americas, inc.",3.8,software engineering,"San Francisco, CA",2d,86K - 121K,software engineer,not specified,,San Francisco,CA,False,False,United States,2,86000.0,121000.0
smart ims,3.8,software engineer,"Austin, TX",30d+,74K - 107K,software engineer,not specified,,Austin,TX,False,False,United States,30,74000.0,107000.0
clearwater analytics,4.7,software development engineer,"San Jose, CA",30d+,81K - 113K,software engineer,not specified,,San Jose,CA,False,False,United States,30,81000.0,113000.0
paypal,3.9,"software engineer, backend","San Jose, CA",2d,72K - 119K,software engineer,not specified,backend,San Jose,CA,False,False,United States,2,72000.0,119000.0
walgreens,4.6,principal software engineer,"Bellevue, WA",1d,90K - 125K,software engineer,leadership,,Bellevue,WA,False,False,United States,1,90000.0,125000.0
the swift group,3.7,software engineer,"McLean, VA",18d,80K - 150K,software engineer,not specified,,McLean,VA,False,False,United States,18,80000.0,150000.0
hewlett packard,3.5,software engineer,"Spring, TX",10d,72K - 144K,software engineer,not specified,,Spring,TX,False,False,United States,10,72000.0,144000.0
microsoft,4.0,software engineer,"Redmond, WA",5d,70K - 95K,software engineer,not specified,,Redmond,WA,False,False,United States,5,70000.0,95000.0
new river systems corporation,4.4,sharepoint software systems engineer,Remote,17d,100K - 140K,software engineer,not specified,,,,True,False,United States,17,100000.0,140000.0
"modern technology solutions, inc.",4.6,software engineer - associate,"Chantilly, VA",11d,124K - 234K,software engineer,not specified,,Chantilly,VA,False,False,United States,11,124000.0,234000.0
pqsecure technologies,3.7,hardware/software engineer,"Boca Raton, FL",30d+,88K - 119K,software engineer,not specified,,Boca Raton,FL,False,False,United States,30,88000.0,119000.0
ispa technology,4.4,mid to senior level software engineer,"San Diego, CA",19d,123K - 198K,software engineer,senior,,San Diego,CA,False,False,United States,19,123000.0,198000.0
onmed,5.0,site reliability engineer,"Tampa, FL",23d,158K - 176K,other,not specified,,Tampa,FL,False,False,United States,23,158000.0,176000.0
grote industries,4.2,networks - embedded software engineer,"Madison, IN",3d,160K - 180K,software engineer,not specified,,Madison,IN,False,False,United States,3,160000.0,180000.0
walgreens,3.9,devops engineer,"Deerfield, IL",24h,87K - 119K,devops engineer,not specified,devops,Deerfield,IL,False,False,United States,24,87000.0,119000.0
cloud software group,4.5,software engineer,"Naperville, IL",12d,97K - 145K,software engineer,not specified,,Naperville,IL,False,False,United States,12,97000.0,145000.0
walgreens,4.6,"senior software engineer (full-stack, java, javascript)","Bellevue, WA",30d+,89K - 139K,software engineer,senior,"java, javascript",Bellevue,WA,False,False,United States,30,89000.0,139000.0
nationmind infoservices pvt ltd,3.6,software engineer,Florida,16d,53K - 103K,software engineer,not specified,,Florida,,False,False,United States,16,53000.0,103000.0
arrowstreet capital,3.4,fullstack software engineer,"Boston, MA",30d+,129K - 228K,software engineer,not specified,,Boston,MA,False,False,United States,30,129000.0,228000.0
favorited,4.8,full stack engineer,"Santa Monica, CA",2d,150K - 250K,other,not specified,fullstack,Santa Monica,CA,False,False,United States,2,150000.0,250000.0
strategic thermal labs,2.5,software engineer,"Georgetown, TX",11d,116K - 163K,software engineer,not specified,,Georgetown,TX,False,False,United States,11,116000.0,163000.0
idolsoft,3.3,software developer,"Irving, TX",30d+,104K - 127K,software engineer,not specified,,Irving,TX,False,False,United States,30,104000.0,127000.0
bi labs,3.1,software developers (834),"Plainsboro, NJ",30d+,53K - 96K,software engineer,not specified,,Plainsboro,NJ,False,False,United States,30,53000.0,96000.0
verily,3.5,"software engineer, enterprise frontend","San Bruno, CA",30d+,60K - 90K,software engineer,not specified,frontend,San Bruno,CA,False,False,United States,30,60000.0,90000.0
colonial pipeline company,4.4,software engineer,"Alpharetta, GA",30d+,143K - 191K,software engineer,not specified,,Alpharetta,GA,False,False,United States,30,143000.0,191000.0
leader communications inc,4.2,software engineer,"Hill AFB, UT",26d,142K - 162K,software engineer,not specified,,Hill AFB,UT,False,False,United States,26,142000.0,162000.0
ucare,3.3,software engineer sr. â€” net,"Minneapolis, MN",12d,89K - 129K,software engineer,senior,,Minneapolis,MN,False,False,United States,12,89000.0,129000.0
cliftonlarsonallen,4.8,devops engineer,"Minneapolis, MN",11d,94K - 156K,devops engineer,not specified,devops,Minneapolis,MN,False,False,United States,11,94000.0,156000.0
two six technologies,3.9,software engineer associate manager - national general,Remote,4d,80K - 148K,software engineer,leadership,,,,True,False,United States,4,80000.0,148000.0
bae systems,3.9,software engineer,"Herndon, VA",30d+,62K - 105K,software engineer,not specified,,Herndon,VA,False,False,United States,30,62000.0,105000.0
nodal exchange,3.5,software engineer (expert),"Herndon, VA",30d+,81K - 164K,software engineer,not specified,,Herndon,VA,False,False,United States,30,81000.0,164000.0
gomez & companies,3.5,software engineer (mid-level),United States,9d,98K - 145K,software engineer,mid-level,,United States,,False,False,United States,9,98000.0,145000.0
"t-mobile usa, inc.",3.7,full stack software engineer & api developer,"Canoga Park, CA",1d,157K - 207K,software engineer,not specified,fullstack,Canoga Park,CA,False,False,United States,1,157000.0,207000.0
m&t bank,3.5,sr software engineer - data,"Bellevue, WA",3d,133K - 143K,software engineer,senior,,Bellevue,WA,False,False,United States,3,133000.0,143000.0
pressco technology,4.5,"api services - senior software engineer - java, spring boot","Buffalo, NY",10d,79K - 159K,software engineer,senior,java,Buffalo,NY,False,False,United States,10,79000.0,159000.0
youtube,3.8,software integration & test engineer,"Solon, OH",3d,132K - 190K,qa/test engineer,not specified,,Solon,OH,False,False,United States,3,132000.0,190000.0
ispa technology,4.2,"staff software engineer, machine learning, youtube music","New York, NY",1d,90K - 143K,software engineer,not specified,,New York,NY,False,False,United States,1,90000.0,143000.0
scentsy inc,4.0,mid-level software systems engineer,United States,23d,101K - 187K,software engineer,mid-level,,United States,,False,False,United States,23,101000.0,187000.0
stratascorp,3.5,software engineer,"Meridian, ID",5d,58K - 103K,software engineer,not specified,,Meridian,ID,False,False,United States,5,58000.0,103000.0
3r info,3.8,software engineer,"Arlington, VA",4d,125K - 200K,software engineer,not specified,,Arlington,VA,False,False,United States,4,125000.0,200000.0
toyota research institute,4.1,software engineer in testing,"Canton, MI",30d+,168K,software engineer,not specified,,Canton,MI,False,False,United States,30,,
gelber group,5.0,senior software engineer,"Los Altos, CA",9d,110K - 143K,software engineer,senior,,Los Altos,CA,False,False,United States,9,110000.0,143000.0
"peopletec, inc.",3.5,software engineer- executions team,"Chicago, IL",20d,80.00 - 85.00 Per Hour,software engineer,not specified,,Chicago,IL,False,False,United States,20,,
flysoft,5.0,software engineer,data not available,2d,78K - 112K,software engineer,not specified,,,,False,True,United States,2,78000.0,112000.0
ingrain systems inc.,3.9,software engineer,"Jamesburg, NJ",20d,95K - 125K,software engineer,not specified,,Jamesburg,NJ,False,False,United States,20,95000.0,125000.0
carrier,4.7,software developers,"Sherman, TX",30d+,92K - 158K,software engineer,not specified,,Sherman,TX,False,False,United States,30,92000.0,158000.0
ncr,4.2,software engineer,"Charlotte, NC",3d,147K - 180K,software engineer,not specified,,Charlotte,NC,False,False,United States,3,147000.0,180000.0
anavation,3.5,software engineer iv - java fullstack,Indiana,30d+,75K - 102K,software engineer,senior,java,Indiana,,False,False,United States,30,75000.0,102000.0
soar technology,3.5,mid-level software engineer – hybrid!,"Quantico, VA",30d+,60K - 112K,software engineer,mid-level,,Quantico,VA,False,False,United States,30,60000.0,112000.0
red ventures,3.1,autonomy software engineer,"Ann Arbor, MI",2d,108K - 151K,software engineer,not specified,,Ann Arbor,MI,False,False,United States,2,108000.0,151000.0
cvs health,4.1,software engineer | the points guy,"San Juan, PR",2d,123K - 196K,software engineer,not specified,,San Juan,PR,False,False,United States,2,123000.0,196000.0
"messenger, llc",4.4,software development itam engineer,"Lansing, MI",5d,116K - 166K,software engineer,not specified,,Lansing,MI,False,False,United States,5,116000.0,166000.0
nelnet,3.5,software developer,"Auburn, IN",3d,59K - 107K,software engineer,not specified,,Auburn,IN,False,False,United States,3,59000.0,107000.0
slate magazine,4.8,it software engineer- nbs,"Lincoln, NE",24d,104K - 163K,software engineer,not specified,,Lincoln,NE,False,False,United States,24,104000.0,163000.0
adobe,3.5,software engineer,"Washington, DC",30d+,68K - 80K,software engineer,not specified,,Washington,DC,False,False,United States,30,68000.0,80000.0
airgas,4.1,software engineer,"Lehi, UT",12d,83K - 107K,software engineer,not specified,,Lehi,UT,False,False,United States,12,83000.0,107000.0
umbra,3.9,firmware engineer,"Cheshire, CT",2d,109K - 209K,other,not specified,,Cheshire,CT,False,False,United States,2,109000.0,209000.0
uber,3.8,senior software engineer,"Santa Barbara, CA",5d,97K - 197K,software engineer,senior,,Santa Barbara,CA,False,False,United States,5,97000.0,197000.0
collaborative robotics,3.7,software engineer ii - uber eats,"San Francisco, CA",27d,57K - 96K,software engineer,junior,,San Francisco,CA,False,False,United States,27,57000.0,96000.0
werfen,3.3,"software engineer, robotics","Santa Clara, CA",8d,98K - 145K,software engineer,not specified,,Santa Clara,CA,False,False,United States,8,98000.0,145000.0
snapchat,4.3,"software development engineer in test, digital solutions","Bedford, MA",19d,66K - 90K,qa/test engineer,not specified,,Bedford,MA,False,False,United States,19,66000.0,90000.0
"canon medical research usa, inc",3.7,"c++ graphics engineer, 1+ years of experience","New York, NY",2d,55.00 - 60.00 Per Hour,other,junior,c++,New York,NY,False,False,United States,2,,
raytheon,4.0,software engineer,"Cambridge, MA",2d,79K - 168K,software engineer,not specified,,Cambridge,MA,False,False,United States,2,79000.0,168000.0
snapchat,3.8,junior software engineer,"Annapolis Junction, MD",6d,102K - 174K,software engineer,junior,,Annapolis Junction,MD,False,False,United States,6,102000.0,174000.0
hudson river trading,3.9,"software engineer, c++, 3+ years of experience","Los Angeles, CA",4d,73K - 108K,software engineer,senior,c++,Los Angeles,CA,False,False,United States,4,73000.0,108000.0
whisker,4.3,systems software engineer,"New York, NY",30d+,110K - 190K,software engineer,not specified,,New York,NY,False,False,United States,30,110000.0,190000.0
mastercard,3.1,senior software engineer,"Auburn Hills, MI",30d+,94K - 137K,software engineer,senior,,Auburn Hills,MI,False,False,United States,30,94000.0,137000.0
savannah river mission completion,3.6,software engineer ii,"O Fallon, MO",8d,89K - 113K,software engineer,junior,,O Fallon,MO,False,False,United States,8,89000.0,113000.0
mill-max,3.8,associate software developer,"Aiken, SC",9d,80K - 100K,software engineer,not specified,,Aiken,SC,False,False,United States,9,80000.0,100000.0
disney entertainment & espn technology,3.8,software engineer trainee,"Oyster Bay, NY",24d,128K - 179K,software engineer,not specified,,Oyster Bay,NY,False,False,United States,24,128000.0,179000.0
coca-cola,4.2,sr software engineer,"Seattle, WA",1d,74K - 125K,software engineer,senior,,Seattle,WA,False,False,United States,1,74000.0,125000.0
kaleido,4.1,staff software engineer,"Atlanta, GA",4d,90K - 187K,software engineer,not specified,,Atlanta,GA,False,False,United States,4,90000.0,187000.0
m&t bank,3.7,full stack engineer,"Raleigh, NC",5d,143K - 256K,other,not specified,fullstack,Raleigh,NC,False,False,United States,5,143000.0,256000.0
lufburrow & co,3.4,"software engineer - api, java, spring boot","Buffalo, NY",30d+,114K - 145K,software engineer,not specified,java,Buffalo,NY,False,False,United States,30,114000.0,145000.0
boost tech,4.1,software engineer - hybrid,"Havre de Grace, MD",30d+,101K - 155K,software engineer,not specified,,Havre de Grace,MD,False,False,United States,30,101000.0,155000.0
bae systems,3.9,senior software engineer (crm),Remote,2d,84K - 128K,software engineer,senior,,,,True,False,United States,2,84000.0,128000.0
vantaca,4.5,test software engineer,"Nashua, NH",4d,100.00 Per Hour,software engineer,not specified,,Nashua,NH,False,False,United States,4,100000.0,0.0
numerica corporation,4.7,mobile engineer,data not available,2d,71K - 104K,other,not specified,,,,False,True,United States,2,71000.0,104000.0
veracity engineering,4.6,software engineer (multiple openings),"Fort Collins, CO",18d,99K - 137K,software engineer,not specified,,Fort Collins,CO,False,False,United States,18,99000.0,137000.0
applovin,4.7,software engineer,"Washington, DC",5d,15.69 Per Hour,software engineer,not specified,,Washington,DC,False,False,United States,5,15000.0,69000.0
m&t bank,4.1,"software engineer ii, c++ backend","Palo Alto, CA",5d,141K - 211K,software engineer,junior,"backend, c++",Palo Alto,CA,False,False,United States,5,141000.0,211000.0
cvs health,4.2,software engineer ii,"Wilmington, DE",30d+,76K - 128K,software engineer,junior,,Wilmington,DE,False,False,United States,30,76000.0,128000.0
microsoft,4.1,junior software developer (java & azure cloud),"Woonsocket, RI",2d,93K - 129K,software engineer,junior,"cloud, java",Woonsocket,RI,False,False,United States,2,93000.0,129000.0
northwest talent solutions llc,3.6,software engineer 2,data not available,2d,93K - 131K,software engineer,junior,,,,False,True,United States,2,93000.0,131000.0
honda research institute usa,4.2,senior software engineer,"Boston, MA",30d+,86K - 145K,software engineer,senior,,Boston,MA,False,False,United States,30,86000.0,145000.0
activision,4.0,software engineer for mobile robots,"San Jose, CA",13d,67K - 112K,software engineer,not specified,,San Jose,CA,False,False,United States,13,67000.0,112000.0
thatgamecompany,3.6,senior software engineer,"Santa Monica, CA",9d,116K - 150K,software engineer,senior,,Santa Monica,CA,False,False,United States,9,116000.0,150000.0
bny mellon,4.0,build engineer,California,4d,85K - 115K,other,not specified,,California,,False,False,United States,4,85000.0,115000.0
recruiting from scratch,3.6,"vice president, back-end engineer i","Lake Mary, FL",2d,90K - 115K,other,junior,,Lake Mary,FL,False,False,United States,2,90000.0,115000.0
"akina, inc.",3.9,founding software engineer,"San Francisco, CA",3d,92K - 156K,software engineer,not specified,,San Francisco,CA,False,False,United States,3,92000.0,156000.0
vonnen,4.8,software engineer - 1 (kubernetes/python),"Annapolis Junction, MD",18d,150K - 200K,software engineer,junior,python,Annapolis Junction,MD,False,False,United States,18,150000.0,200000.0
capgemini,4.5,software engineer,"Santa Clara, CA",9d,95K - 147K,software engineer,not specified,,Santa Clara,CA,False,False,United States,9,95000.0,147000.0
"stefanini, inc",3.6,software engineer - redis,"Irving, TX",2d,102K - 148K,software engineer,not specified,,Irving,TX,False,False,United States,2,102000.0,148000.0
infosys,4.7,software engineer,"Dearborn, MI",25d,40.00 - 60.00 Per Hour,software engineer,not specified,,Dearborn,MI,False,False,United States,25,,
"link, llc",4.9,release engineer,"Chicago, IL",9d,86K - 109K,other,not specified,,Chicago,IL,False,False,United States,9,86000.0,109000.0
autodesk,3.9,"golang software engineer (vista bighitter), bs+7, telework","Annapolis Junction, MD",11d,87K - 125K,software engineer,not specified,,Annapolis Junction,MD,False,False,United States,11,87000.0,125000.0
bct llc,3.9,"software development engineer, platform services",Oregon,6d,75.00 - 80.00 Per Hour,software engineer,not specified,,Oregon,,False,False,United States,6,,
jpmorgan chase & co,4.8,software engineer (id),United States,4d,142K - 183K,software engineer,not specified,,United States,,False,False,United States,4,142000.0,183000.0
wr systems,4.2,software engineer,"Jersey City, NJ",2d,77K - 125K,software engineer,not specified,,Jersey City,NJ,False,False,United States,2,77000.0,125000.0
acuity brands,3.5,software engineer,"Dahlgren, VA",3d,162K - 244K,software engineer,not specified,,Dahlgren,VA,False,False,United States,3,162000.0,244000.0
cisco systems,4.1,software engineer,"Conyers, GA",3d,85K - 104K,software engineer,not specified,,Conyers,GA,False,False,United States,3,85000.0,104000.0
walgreens,3.3,software qa engineer,"San Jose, CA",12d,140K - 145K,qa/test engineer,not specified,,San Jose,CA,False,False,United States,12,140000.0,145000.0
"vivint, inc.",3.8,senior software engineer,"Deerfield, IL",2d,95K - 130K,software engineer,senior,,Deerfield,IL,False,False,United States,2,95000.0,130000.0
caelum research corporation,4.1,sr. software engineer,"Lehi, UT",4d,90K - 150K,software engineer,senior,,Lehi,UT,False,False,United States,4,90000.0,150000.0
oracle,4.5,software engineer,"Carlisle, PA",22d,140K - 150K,software engineer,not specified,,Carlisle,PA,False,False,United States,22,140000.0,150000.0
fidelity investments,3.8,software developer,"Redwood City, CA",24h,183K - 297K,software engineer,not specified,,Redwood City,CA,False,False,United States,24,183000.0,297000.0
colorado state university,4.5,cloud engineer,"Westlake, TX",9d,120K - 140K,cloud engineer,not specified,cloud,Westlake,TX,False,False,United States,9,120000.0,140000.0
bayer,2.3,application programmer analyst/developer i,"Fort Collins, CO",5d,97K - 129K,other,junior,,Fort Collins,CO,False,False,United States,5,97000.0,129000.0
usaa,3.9,software engineer ii,"Indianola, PA",12d,50K - 90K,software engineer,junior,,Indianola,PA,False,False,United States,12,50000.0,90000.0
accenture federal services,3.1,senior react/javascript software engineer,"San Antonio, TX",1d,74K - 122K,software engineer,senior,"java, javascript",San Antonio,TX,False,False,United States,1,74000.0,122000.0
gundersen health system,5.0,software engineer,"Lorton, VA",13d,85K - 150K,software engineer,not specified,,Lorton,VA,False,False,United States,13,85000.0,150000.0
"jrc integrated systems, llc",3.9,software engineer | front end developer,"Onalaska, WI",30d+,82K - 114K,software engineer,not specified,frontend,Onalaska,WI,False,False,United States,30,82000.0,114000.0
xl softek,3.9,software engineer,"Washington, DC",11d,107K - 150K,software engineer,not specified,,Washington,DC,False,False,United States,11,107000.0,150000.0
kasmo cloud solutions,4.0,software engineers,"Suwanee, GA",30d+,215K - 220K,software engineer,not specified,,Suwanee,GA,False,False,United States,30,215000.0,220000.0
"icr, inc.",4.2,software engineer,"Carol Stream, IL",5d,90K - 180K,software engineer,not specified,,Carol Stream,IL,False,False,United States,5,90000.0,180000.0
workday,4.0,"software engineer - front end (dashboard) - aurora, co","Aurora, CO",30d+,130K - 160K,software engineer,not specified,frontend,Aurora,CO,False,False,United States,30,130000.0,160000.0
360care,3.0,"sr associate software engineer, database as a service","Atlanta, GA",5d,75K - 126K,software engineer,senior,,Atlanta,GA,False,False,United States,5,75000.0,126000.0
amex,3.5,software engineer,"Louisville, KY",30d+,79K - 119K,software engineer,not specified,,Louisville,KY,False,False,United States,30,79000.0,119000.0
dkw communications,3.5,senior engineer - java - go2 unify,"Sunrise, FL",30d+,125K - 150K,other,senior,java,Sunrise,FL,False,False,United States,30,125000.0,150000.0
"sick, inc.",4.1,senior software engineer,"Point Mugu NAWC, CA",4d,77K - 102K,software engineer,senior,,Point Mugu NAWC,CA,False,False,United States,4,77000.0,102000.0
antithesis,3.2,software engineer ii,"Minneapolis, MN",3d,102K - 138K,software engineer,junior,,Minneapolis,MN,False,False,United States,3,102000.0,138000.0
rekuten global,3.9,junior ruby on rails engineer,Remote,3d,115K - 155K,other,junior,,,,True,False,United States,3,115000.0,155000.0
tencent,4.0,senior software engineer,"Vienna, VA",2d,84K - 132K,software engineer,senior,,Vienna,VA,False,False,United States,2,84000.0,132000.0
realmone,4.1,software engineer,"Beloit, WI",30d+,80.00 Per Hour,software engineer,not specified,,Beloit,WI,False,False,United States,30,80000.0,0.0
zoox,4.1,security software engineer i,"Palo Alto, CA",6d,80K - 108K,software engineer,junior,,Palo Alto,CA,False,False,United States,6,80000.0,108000.0
cybercore technologies,4.3,software engineer 1,Maryland,30d+,148K - 230K,software engineer,junior,,Maryland,,False,False,United States,30,148000.0,230000.0
synergy ecp,4.1,"software engineer, workflow orchestration","Foster City, CA",30d+,81K - 101K,software engineer,not specified,,Foster City,CA,False,False,United States,30,81000.0,101000.0
innovative defense technologies (idt),3.9,software engineer 3,"Annapolis Junction, MD",19d,65K - 112K,software engineer,senior,,Annapolis Junction,MD,False,False,United States,19,65000.0,112000.0
veterans engineering incorporated,4.1,backend python software engineer,"Annapolis Junction, MD",30d+,88K - 117K,software engineer,not specified,"backend, python",Annapolis Junction,MD,False,False,United States,30,88000.0,117000.0
solvere technical group,3.6,software engineer,"Fall River, MA",30d+,10K - 20K,software engineer,not specified,,Fall River,MA,False,False,United States,30,10000.0,20000.0
"iralogix,inc",3.9,cloud engineer,United States,10d,111K - 153K,cloud engineer,not specified,cloud,United States,,False,False,United States,10,111000.0,153000.0
nava,3.8,software engineer,"Indian Head, MD",2d,91K - 126K,software engineer,not specified,,Indian Head,MD,False,False,United States,2,91000.0,126000.0
f5,3.6,senior software engineer,"Pittsburgh, PA",4d,125K - 140K,software engineer,senior,,Pittsburgh,PA,False,False,United States,4,125000.0,140000.0
bae systems,4.5,sr. software engineer,Remote,2d,66K - 116K,software engineer,senior,,,,True,False,United States,2,66000.0,116000.0
synergy ecp,3.4,software engineer iii,"San Jose, CA",19d,108K - 146K,software engineer,senior,,San Jose,CA,False,False,United States,19,108000.0,146000.0
ge healthcare,4.0,"engineer, junior software","Lexington Park, MD",30d+,90K - 130K,software engineer,junior,,Lexington Park,MD,False,False,United States,30,90000.0,130000.0
tc energy,2.4,software engineer,"Annapolis Junction, MD",30d+,80K - 90K,software engineer,not specified,,Annapolis Junction,MD,False,False,United States,30,80000.0,90000.0
principal fidata not availablecial group,4.3,"senior software engineer (hybrid, onsite)","Milwaukee, WI",3d,86K - 119K,software engineer,senior,,Milwaukee,WI,False,False,United States,3,86000.0,119000.0
schlumberger,3.4,new engineer-in-training (net) rotational program,"Houston, TX",6d,120K - 250K,other,not specified,,Houston,TX,False,False,United States,6,120000.0,250000.0
ixl learning,3.8,"sr software engineer, snowflake focus",data not available,2d,54K - 83K,software engineer,senior,,,,False,True,United States,2,54000.0,83000.0
jbt corporation,4.6,back end software engineer,"Houston, TX",9d,55K - 90K,software engineer,not specified,backend,Houston,TX,False,False,United States,9,55000.0,90000.0
flash technology group,4.2,software engineer,"San Mateo, CA",30d+,84K - 157K,software engineer,not specified,,San Mateo,CA,False,False,United States,30,84000.0,157000.0
innovative defense technologies (idt),3.7,devops engineer,"Chalfont, PA",30d+,96K - 128K,devops engineer,not specified,devops,Chalfont,PA,False,False,United States,30,96000.0,128000.0
fairfax county public schools,4.2,software engineer i,"Laurel, MD",30d+,106K - 125K,software engineer,junior,,Laurel,MD,False,False,United States,30,106000.0,125000.0
scholarly,4.5,software engineer,United States,5d,81K - 123K,software engineer,not specified,,United States,,False,False,United States,5,81000.0,123000.0
innovative defense technologies (idt),3.0,software engineer (one year only),"Wilton Woods, VA",30d+,92K - 131K,software engineer,not specified,,Wilton Woods,VA,False,False,United States,30,92000.0,131000.0
burst inc.,2.0,software engineer,"Seattle, WA",9d,115K - 166K,software engineer,not specified,,Seattle,WA,False,False,United States,9,115000.0,166000.0
usn technical associates,3.9,devsecops software engineer,"Fall River, MA",5d,113K - 161K,software engineer,not specified,,Fall River,MA,False,False,United States,5,113000.0,161000.0
snc,2.8,video software engineer,"Lexington, MA",11d,160K - 385K,software engineer,not specified,,Lexington,MA,False,False,United States,11,160000.0,385000.0
decision six,4.1,contract software engineer,"Los Angeles, CA",5d,62K - 102K,software engineer,not specified,,Los Angeles,CA,False,False,United States,5,62000.0,102000.0
laiba technologies,4.4,software engineer ii,"Southern Pines, NC",1d,73K - 110K,software engineer,junior,,Southern Pines,NC,False,False,United States,1,73000.0,110000.0
teamups,4.4,devops engineer,"Newtown Square, PA",5d,200K - 370K,devops engineer,not specified,devops,Newtown Square,PA,False,False,United States,5,200000.0,370000.0
